wordpress_title	royal_road_title	test	slug
1.00	1.00	TRUE	1-00
1.01	1.01	TRUE	1-01
1.02	1.02	TRUE	1-02
1.03	1.03	TRUE	1-03
1.04	1.04	TRUE	1-04
1.05	1.05	TRUE	1-05
1.06	1.06	TRUE	1-06
1.07	1.07	TRUE	1-07
1.08	1.08	TRUE	1-08
1.09	1.09	TRUE	1-09
1.10	1.10	TRUE	1-10
1.11	1.11	TRUE	1-11
Interlude	Interlude	TRUE	interlude
1.12	1.12	TRUE	1-12
1.13	1.13	TRUE	1-13
1.14	1.14	TRUE	1-14
1.15	1.15	TRUE	1-15
1.16	1.16	TRUE	1-16
1.17	1.17	TRUE	1-17
1.18	1.18	TRUE	1-18
1.19	1.19	TRUE	1-19
1.20	1.20	TRUE	1-20
Interlude – 1.00 R	Interlude - 1.00 R	FALSE	interlude-1-00-r
1.01 R	1.01 R	TRUE	1-01-r
1.21	1.21	TRUE	1-21
1.22	1.22	TRUE	1-22
1.23	1.23	TRUE	1-23
Interlude: King Edition	Interlude - King Edition	FALSE	interlude-king-edition
1.24	1.24	TRUE	1-24
1.02 R	1.02 R	TRUE	1-02-r
1.03 R	1.03 R	TRUE	1-03-r
1.25	1.25	TRUE	1-25
1.26	1.26	TRUE	1-26
1.27	1.27	TRUE	1-27
1.04 R	1.04 R	TRUE	1-04-r
1.05 R	1.05 R	TRUE	1-05-r
1.28	1.28	TRUE	1-28
1.06 R	1.06 R	TRUE	1-06-r
1.29	1.29	TRUE	1-29
1.30	1.30	TRUE	1-30
1.31	1.31	TRUE	1-31
1.07 R	1.07 R	TRUE	1-07-r
1.08 R	1.08 R	TRUE	1-08-r
1.32	1.32	TRUE	1-32
1.33	1.33	TRUE	1-33
1.09 R	1.09 R	TRUE	1-09-r
1.10 R	1.10 R	TRUE	1-10-r
1.34	1.34	TRUE	1-34
1.35	1.35	TRUE	1-35
1.11 R	1.11 R	TRUE	1-11-r
1.12 R	1.12 R	TRUE	1-12-r
1.36	1.36	TRUE	1-36
1.37	1.37	TRUE	1-37
1.38	1.38	TRUE	1-38
1.39	1.39	TRUE	1-39
1.40	1.40	TRUE	1-40
1.13 R	1.13 R	TRUE	1-13-r
1.41	1.41	TRUE	1-41
1.00 H	1.00 H	TRUE	1-00-h
1.01 H	1.01 H	TRUE	1-01-h
1.02 H	1.02 H	TRUE	1-02-h
1.42	1.42	TRUE	1-42
1.43	1.43	TRUE	1-43
1.44	1.44	TRUE	1-44
1.45	1.45	TRUE	1-45
Interlude	Interlude	TRUE	interlude-2
2.00	2.01	FALSE	2-01
2.01	2.02	FALSE	2-02
2.02	2.03	FALSE	2-03
2.03	2.04	FALSE	2-04
2.04	2.05	FALSE	2-05
2.05	2.06	FALSE	2-06
2.06	2.07	FALSE	2-07
2.07	2.08	FALSE	2-08
2.08	2.09	FALSE	2-09
2.10 T	2.10	FALSE	2-00-t
2.09	2.00 T	FALSE	2-10
2.11	2.11	TRUE	2-11
2.12	2.12	TRUE	2-12
2.13	2.13	TRUE	2-13
2.14 G	2.00 G	FALSE	2-00-g
S01 – Mating Rituals	S01 - Mating Rituals	FALSE	side-story-mating-rituals
2.15	2.14	FALSE	2-14
2.16	2.15	FALSE	2-15
2.17	2.16	FALSE	2-16
1.00 C	1.00 C	TRUE	1-00-c
2.18	2.17	FALSE	2-17
1.01 C	1.01 C	TRUE	1-01-c
2.19 G	2.01 G	FALSE	2-01-g
2.20	2.18	FALSE	2-18
2.21	2.19	FALSE	2-19
2.22 K	2.00 K	FALSE	2-00-k
2.23	2.20	FALSE	2-20
2.24 T	2.01 T	FALSE	2-01-t
2.25	2.21	FALSE	2-21
2.26	2.22	FALSE	2-22
2.27 G	2.02 G	FALSE	2-02-g
2.28	2.23	FALSE	2-23
2.29	2.24	FALSE	2-24
2.30	2.25	FALSE	2-25
S02 – The Antinium Wars (Pt.1)	S02 – The Antinium Wars (Pt.1)	TRUE	s02-the-antinium-wars-pt-1
2.31	2.26	FALSE	2-26
S02 – The Antinium Wars (Pt.2)	S02 – The Antinium Wars (Pt.2)	TRUE	s02-the-antinium-wars-pt-2
2.32 H	2.00 H	FALSE	2-00-h
2.33	2.27	FALSE	2-27
2.34	2.28	FALSE	2-28
2.35	2.29	FALSE	2-29
2.36 G	2.03 G	FALSE	2-03-g
2.37	2.30	FALSE	2-30
2.38	2.31	FALSE	2-31
Interlude	Interlude	TRUE	interlude-3
2.39	2.32	FALSE	2-32
S03 – Wistram Days (Pt. 1)	S03 – Wistram Days (Pt. 1)	TRUE	s03-wistram-days-pt-1
2.40	2.33	FALSE	2-33
2.41	2.34	FALSE	2-34
2.42	2.35	FALSE	2-35
2.43	2.36	FALSE	2-36
1.00 D	1.00 D	TRUE	1-00-d
1.01 D	1.01 D	TRUE	1-01-d
